project_index,project_name,country,plant_year,project_type,project_function,pv_system,module_type,cell_type,transparency,extra_data,installed_power_kWp_,surface_area_m2,yield_kWh_per_A,specific_power_W_per_m2,color,texture,module_size,module_shape,cell_visibility,context,facade_ratio,orientation,inclination_degrees,type_of_integration,façade_composition_1,facade_composition_2,concept,module_orientation,ornamentation
105,BANDAI Hobby Center,Japan,2006,-,Public,Facade Cladding,-,-,Opaque,70 kWp,70,-,-,-,Black,Flat,Standard,Rectangular,-,Industrial,0.5,S,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
106,Daito Bunka University - Itabashi Campus - building 3,Japan,2003,New,Educational,Facade Glazing,Monocrystalline,-,Translucent,-,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,0.5,S,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Vertical,No
107,Itoman city government building,Japan,2002,-,Office,Solar Control,Monocrystalline,-,Opaque,195.6 kWp,196,-,-,-,Blue,Flat,Small,Rectangular,Yes,Agglomeration,0.5,S,45,Solar Control,Heterogeneous,ZigZag,Dominant,Horizontal,No
108,Kobe City Hall,Japan,2004,New,Public,Unknown,Monocrystalline,Mono,-,2004;BIPV SG;0,-,-,-,-,Blue,Flat,Standard,Rectangular,-,Urban,<0.5,S,90,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
109,NTT Aoba Dori,Japan,2013,New,Office,Integrated,Polycrystalline ,Poly,-,2013;IEA Case Studies;0,20,423,-,-,Black,Flat,Custom,Square,Yes,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Centric,No
110,Sanyo Solar Ark,Japan,2002,New,Office,Unknown,Monocrystalline,Mono,-,2002;BIPV SG;530000,630,3295,530000,-,Blue,Flat,Standard,Rectangular,Yes,Agglomeration,1,S,75,Rainscreen,Homogeneous,Grid,Dominant,Horizontal,No
111,Tokyo Inst. of Technology,Japan,2012,New,Educational,Unknown,Mixed,Mixed,-,2012;BIPV SG;0,-,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,>0.5,S;W,Var.,Solar Control,Heterogeneous,HighTech,Dominant,Horizontal,No
112,Toshima Ecomusee Town,Japan,2015,New,Office,Integrated,Thin Film,a-Si,-,2015;IEA Case Studies;0,133,-,-,-,Black,Flat,Custom,Rectangular,No,Urban,<0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
113,Glassbel Office,Lithuania,2016,-,Office,Curtain wall,-,-,-,-,-,-,-,-,Multi,Flat,Large,Rectangular,Yes,Industrial,0.5,-,90,Rainscreen,Homogeneous,Rhythmic,Integration,Vertical,Yes
114,14 Housing development,Netherlands,2002,New,Residential,Warm Facade,Amorphous silicon,-,Var.,Urban;1.6 kWp (per housing unit);30 m2 (per housing unit),22.4,420,-,-,Black,Glossy,Standard,Rectangular,No,Agglomeration,0.5,S;W,90,Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
115,Apartments « Gele Lis »,Netherlands,2000,-,Residential,Solar Control,-,-,Translucent,32 kWp,32,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Agglomeration,<0.5,S,90,Rainscreen,Heterogeneous,Flat,Dominant,Horizontal,No
116,Bedrijfsverzamelgebouw Pharos,Netherlands,2020,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,-;11795;340;-;Solarix | Coare | Alkondor | Sorba | Kameleon Solar | Kuijpers;https://solarix-solar.com/ | https://coare.nl/ | https://www.alkondor.nl/ | https://www.sorba.com/nl/ | https://kameleonsolar.com/nl/ | https://www.kuijpers.nl/;Colored;Custom;Yes,-,215,11800,-,Brown,Satin,Custom,Rectangular,No,Urban,<0.5,SE,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,Yes
117,Buurtboost Optopper,Netherlands,2022,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,-;-;2950;-;Solarix | Vorm;https://solarix-solar.com/ | https://vorm.nl/;Colored;Standard;Yes,-,27,3000,-,Grey,Satin,Custom,Rectangular;Triangular,No,Agglomeration,<0.5,E;S;W,45,Solar Control,Heterogeneous,Depth,Integration,Horizontal,Yes
118,Centrumplan Berkel,Netherlands,2024,New,Residential,"Roof,Covered Roof,Facade,Ventilated Facade",-,-,Opaque,775;-;792;97.4;Saint-Gobain Solutions | rphs+ | Oranjedak | ABB Bouwgroep | Waaijer Projectrealisatie;https://www.saint-gobain-solutions.nl/energyfacade-cigs | https://www.rphs.nl/ | https://www.oranjedak.nl/ | https://www.abbbouwgroep.nl/referentieproject/centrumplan-berkel/ | https://www.wpr.nl/projecten/woningen#!/berkel-centrum-west-project;Colored;Standard;No,97,-,-,-,Gold,Satin,Standard,Rectangular,No,Agglomeration,>0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
119,Dempsey flat,Netherlands,2021,Retrofit,Residential,"Facade,Ventilated Facade",-,-,Opaque,200;16000;24;ZigZagSolar;https://www.zigzagsolar.nl/;Colored;Custom;No,24,-,16000,-,Black,Flat,Small,Rectangular,Yes,Agglomeration,>0.5,S,45,Rainscreen,Heterogeneous,ZigZag,Dominant,Horizontal,Yes
120,Eisenhower,Netherlands,2017,Retrofit,Residential,"Facade,Ventilated Facade",-,-,Opaque,308;30000;36.96;ZigZagSolar;https://www.zigzagsolar.nl/;Zwart/donkerblauw;Custom;No,-,-,30000,-,Black,Flat,Small,Rectangular,Yes,Agglomeration,>0.5,S,45,Rainscreen,Heterogeneous,ZigZag,Dominant,Horizontal,No
121,Fire Hall,Netherlands,2000,New,Public,Warm Facade,Polycrystalline ,-,Translucent,-;23.9 kWp ;N/A,23.9,-,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,S,45,Rainscreen,Homogeneous,Skin,Integration,Horizontal,No
122,Hoofdkantoor Kuijpers,Netherlands,2018,Retrofit,Office,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,-;5617;130;-;Solarix | Sorba | Kameleon Solar | Kuijpers;https://solarix-solar.com/ | https://www.sorba.com/ | https://kameleonsolar.com/nl/ | https://www.kuijpers.nl/;Colored;Custom;Yes,-,89,5600,-,Orange,Satin,Custom,Rectangular,No,Agglomeration,>0.5,S,85,Rainscreen,Heterogeneous,Rhythmic,Integration,Mixed,No
123,Multi-storey parking,Netherlands,2004,New,Public,Warm Facade,Amorphous silicon,-,Opaque,Urban;27 kWp ;650 m2 ,27,650,-,-,Red,Flat,Standard,Rectangular,No,Urban,1,S,90,Rainscreen,Homogeneous,Rhythmic,Dominant,Horizontal,No
124,Plus Ultra Amsterdam,Netherlands,2023,New,Office,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,930;-;1020;199.7;Saint-Gobain Solutions | cepezed | De Groot & Visser | Kadans Science Partner;https://www.saint-gobain-solutions.nl/energyfacade-si-custom | https://www.cepezed.nl/ | https://degrootenvisser.nl/ | https://www.kadans.com/product/plus-ultra-amsterdam-on-medical-business-park-amsterdam/;Black/DarkBlue;Custom;No,200,1020,-,-,Black,Satin,Small,Rectangular,No,Urban,0.5,SE;SW,90,Rainscreen,Heterogeneous,VertZigZag,Integration,Vertical,No
125,Railway Technical Facility,Netherlands,2022,New,Industrial,-,-,-,-,-;5;-;-;-,5,-,-,-,Print,Satin,Standard,Rectangular,No,Industrial,1,SE;SW,90,Rainscreen,Homogeneous,Flat,Imitation,Vertical,Yes
126,Rembrandt College,Netherlands,1998,-,Educational,Solar Control,Polycrystalline ,-,Translucent,37 kWp,37,-,-,-,Blue,Glossy,Standard,Rectangular,Yes,Urban,1,SW,90,Warm Facade,Homogeneous,Grid,Dominant,Horizontal,No
127,ripple Demonstration Unit,Netherlands,2021,New,Residential,"Facade,Ventilated Facade",-,-,Opaque,12;-;10;1.18;Team VIRTUe | Kameleon Solar | AFS Solar;https://www.teamvirtue.nl | https://www.kameleonsolar.com | https://www.architectural-facade-solutions.com/solar/;Colored;Custom;Yes,1.2,10,-,-,Brown,Satin,Custom,Polygonal,No,Urban,0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Mixed,Yes
128,De Willem en de Zwijger,Netherlands,2018,New,Residential,"Rainscreen,Balustrade,Parapet",CIGS,-,Opaque,"250 kWp, 750 m2 (1) 500 m2 (2), -",250,-,-,-,Black,Flat,Custom,Rectangular,No,Urban,>0.5,SW,90,Rainscreen,Heterogeneous,Dynamic,Integration,Mixed,No
129,Solar Power Die Delfgaauwse Weye,Netherlands,2002,-,-,Facade Cladding,-,-,Opaque,33 kWp,33,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,<0.5,S,90,Attached,Heterogeneous,Rhythmic,Subjugation,Vertical,No
130,Stadsschouwburg Middelburg,Netherlands,2022,Retrofit,Public,"Facade,Ventilated Facade",-,-,Opaque,32;3460;40;4.48;Solarix | Gemeente Middelburg | Solar Engineers | Energie Anders;https://solarix-solar.com/ | https://www.middelburg.nl/ | https://solarengineers.nl/ | https://energieanders.nl/;Colored;Custom;Yes,-,40,3500,-,Brown,Satin,Standard,Rectangular,No,Urban,<0.5,S,90,Attached,Heterogeneous,Grid,Subjugation,Vertical,Yes
131,Titaan,Netherlands,2023,Retrofit,Office,"Facade,Ventilated Facade",-,-,Opaque,368;-;414;57.17;Kameleon Solar | Braaksma & Roos Architecten | Bijlbouw;https://kameleonsolar.com/nl/ | https://braaksma-roos.nl/ | https://www.bijlbouw.nl/;Colored;Custom;No,57,414,-,-,Print,Satin,Custom,Rectangular,No,Urban,<0.5,All,90,Rainscreen,Heterogeneous,Banner,Integration,Mixed,Yes
132,van Caem Transporten te Waalwijk,Netherlands,2021,Retrofit,Industrial,"Facade,Ventilated Facade",-,-,Opaque,240;61997;540;73;BIPV.world BV | BIPV Projects BV | TULiPPS BV;http://www.bipv.world/ | http://www.bipvprojects.nl/ | http://www.tulipps.com/;Black/DarkBlue;Custom;No,73,540,62000,-,Black,Glossy,Standard,Rectangular,Yes,Industrial,>0.5,S,80,Attached,Heterogeneous,ZigZag,Dominant,Vertical,No
133,Van Happen,Netherlands,2022,Retrofit,Office,"Facade,Ventilated Facade",-,-,Opaque,-;13500;176;-;Solarix | Kuijpers | Solarge | Avery Denisson | Omnimark;https://solarix-solar.com/ | https://www.kuijpers.nl/ | https://solarge.com/ | https://www.averydennison.com/nl/home.html | https://omnimark.nl/;Colored;Custom;Yes,-,176,13500,-,Multi,Satin,Custom,Mixed,No,Industrial,<0.5,S,90,Attached,Heterogeneous,Banner,Subjugation,Vertical,No
134,Villa Lichtenberg,Netherlands,2023,New,Residential,"Facade,Ventilated Facade",Monocrystalline,-,Opaque,137;9600;140;17.4;Solarix | Willem van Winsen Architecten | Solar NRG;https://solarix-solar.com/ | https://wvwa.nl/ | https://solarnrg.nl/;Colored;Custom;Yes,-,137,9600,-,Green,Satin,Custom,Rectangular,No,Agglomeration,>0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Mixed,No
135,WWF HQ,Netherlands,1998,-,-,Solar Control,-,-,Translucent,31.8 kWp,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,Woning Amsterdam,Netherlands,2023,New,Residential,"Roof,Covered Roof,Facade,Ventilated Facade",-,-,Opaque,45;6000;42;8;Hermans Technisolar;https://hermanstechnisolar.com/;Black/DarkBlue;Custom;No,8,45,6000,-,Brown,Glossy,Custom,Rectangular,No,Urban,<0.5,S,90,Rainscreen,Heterogeneous,Depth,Integration,Mixed,No
137,Zonnegevel Stadskantoor Zwolle,Netherlands,2023,Retrofit,Office,"Facade,Ventilated Facade",-,-,Translucent,55;13500;105;17.5;Soluxa | Salverda Bouw | croonwolter&dros | Slim Solar Systems B.V.;https://www.soluxa.solar | https://salverda.nl/ | https://www.croonwolterendros.nl/ | https://www.slimsolarsystems.nl/;Colored;Standard;No,17.5,105,13500,-,Red,Satin,Standard,Rectangular,No,Urban,<0.5,S,90,Attached,Heterogeneous,Banner,Integration,Vertical,No
138,Brynseng Primary School,Norway,2017,New,Public,Integrated,Monocrystalline,Mono,Opaque,2017;IEA Case Studies;105000,166,1046,105000,-,Black,Satin,Standard,Rectangular,No,Urban,>0.5,S,90,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
139,Flotane Rest Stop,Norway,2011,New,Public,Facade Cladding,-,-,Opaque,-,-,10,-,-,Black,Flat,Large,Rectangular,Yes,Rural,0.5,S,60,Rainscreen,Heterogeneous,Sculptural,Dominant,Horizontal,No
140,KIWI Dalgård supermarket,Norway,2017,-,-,Rainscreen,-,-,-,-,-,-,-,-,Black,Flat,Standard,Mixed,-,Urban,>0.5,SW;NW,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
141,NTNU - Norwegian University of Science and Technology,Norway,2000,-,Educational,Solar Control,-,-,Translucent,16 kWp,16,-,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,>0.5,-,90,Solar Control,Heterogeneous,Skin,Dominant,-,No
142,Oseana,Norway,2012,New,Public,Facade Cladding,-,-,Opaque,463 m2,-,463,-,-,Black,Flat,Standard,Rectangular,Yes,Agglomeration,1,S,Var.,Rainscreen,Homogeneous,Skin,Dominant,Horizontal,No
143,Oslo Opera,Norway,2007,-,Public,Facade Glazing,-,-,Translucent,38 kWp,38,-,-,-,Black,Flat,Custom,Mixed,No,Urban,<0.5,SW,90,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
144,Solsmaragden,Norway,2015,New,Office,Mixed,Monocrystalline,Mono,Opaque,2015;IEA Case Studies;106000,115.2,1242,56000,-,Green,Satin,Custom,Rectangular,Yes,Urban,1,E;S;W,90,Rainscreen,Homogeneous,Rhythmic,Integration,Horizontal,Yes
145,Spar Supermarkt,Norway,2018,-,Commercial,Rainscreen,-,-,-,-,-,-,-,-,Black,Flat,Small,Rectangular,No,Agglomeration,0.5,SE;SW,90,Rainscreen,Heterogeneous,Flat,Integration,Vertical,No
146,Ticon Eiendom,Norway,2020,Retrofit,Office,-,-,-,-,-;57;0;31450;0,57,-,31500,-,Gold,Flat,Custom,Rectangular,No,Urban,0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Mixed,No
147,WSPIA School of Law and Public Administration,Poland,2011,New,Public,"Warm Facade,Louvres Balcony",Polycrystalline ,-,Var.,Urban;18 kWp ;200 m2,18,200,-,-,Blue,Flat,Custom,Rectangular,Yes,Urban,0.5,-,90,-,Heterogeneous,Rhythmic,Integration,Mixed,No
148,Natura Towers,Portugal,2009,-,-,Facade Glazing,-,-,Translucent,24 kWp,24,-,-,-,Blue,Flat,Custom,Rectangular,Yes,Urban,<0.5,SE,90,Solar Control,Heterogeneous,Rhythmic,Integration,Vertical,No
149,William Rankine Building,Scotland,2006,-,-,Facade Cladding,-,-,Opaque,26.35 kWp,26.35,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,SW,90,Rainscreen,Heterogeneous,HighTech,Subjugation,Vertical,No
150,Keppel DHCS,Singapore,2012,New,Industrial,Unknown,Monocrystalline,Mono,-,2012;BIPV SG;50000,550,5000,-,-,Blue,Flat,Standard,Rectangular,Yes,Industrial,>0.5,All,90,Rainscreen,Heterogeneous,Banner,Subordination,Vertical,No
151,Tampines Grande,Singapore,2009,New,Office,Integrated,Thin Film,a-Si,-,2009;BIPV SG;0,6,-,-,-,Blue,Satin,Standard,Rectangular,No,Urban,<0.5,SE;SW,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
152,FKI Tower Seoul,South Korea,2014,New,Office,Unknown,Monocrystalline,Mono,-,2013;BIPV SG;844000,-,-,84400,-,Black,Flat,Standard,Square,Yes,Urban,<0.5,All,60,Solar Control,Heterogeneous,ZigZag,Dominant,Horizontal,No
153,Hanwha Headquarters,South Korea,2019,Retrofit,Office,-,Monocrystalline,-,-,2016;73;61;85500;-,73,-,85500,168,Black,Flat,Custom,Rectangular,Yes,Urban,<0.5,S,70,Solar Control,Heterogeneous,Skin,Integration,Horizontal,No
154,Azurmendi,Spain,2012,New,Public,Integrated,Thin Film,a-Si,-,2012;IEA Case Studies;16500,21,-,16500,-,Black,Flat,Standard,Rectangular,No,Rural,<0.5,-,90,Warm Facade,Homogeneous,Grid,Integration,Horizontal,No
155,Casa da Enerxía - As Pontes,Spain,2003,-,-,Facade Glazing,-,-,Translucent,5 kWp,5,-,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,<0.5,S,90,Warm Facade,Heterogeneous,Rhythmic,Integration,Vertical,No
156,CIEMAT office building,Spain,2015,Retrofit,Office,Rainscreen,Monocrystalline,Mono,Opaque,"32 kWp, 172.9 m2, 20000 kWh",32,173,20000,-,Blue,Flat,Standard,Rectangular,Yes,Urban,<0.5,E;S;W,90,Rainscreen,Heterogeneous,Banner,Integration,Horizontal,No
157,Genyo Building,Spain,2008,New,Institutional,Facade Cladding,Amorphous silicon,-,Transparent,19.3 kWp,19.3,-,-,-,Multi,Glossy,Standard,Rectangular,No,Agglomeration,1,SE,90,Rainscreen,Heterogeneous,Rhythmic,Dominant,Horizontal,No
158,ICSE,Spain,2015,New,Office,Facade Glazing,Amorphous silicon,-,Transparent,-,-,-,-,39,Multi,Glossy,Large,Rectangular,No,Urban,1,N;E;S,90,Solar Control,Homogeneous,Rhythmic,Integration,Vertical,No
159,Isofoton Headquarters,Spain,2005,-,Office,Facade Cladding,-,-,Opaque,84.1 kWp,84.1,-,-,-,Black,Flat,Standard,Rectangular,Yes,Industrial,>0.5,-,90,Rainscreen,Homogeneous,Grid,Integration,Horizontal,No
160,Magic Box solar house,Spain,2007,-,-,Facade Glazing,-,-,Translucent,8.1 kWp,8.1,-,-,-,Black,Flat,Standard,Square,Yes,Urban,<0.5,S,90,Warm Facade,Heterogeneous,Depth,Integration,Centric,No
161,Marques de Valdecilla,Spain,2015,New,Hospital,Curtain wall,Monocrystalline,-,Translucent,-,26.5,-,-,652,Black,Flat,Standard,Rectangular,No,Urban,<0.5,S,90,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
162,"Municipal Kinder Garden ""El Blauet""",Spain,2008,-,-,Solar Control,-,-,Translucent,-,-,-,-,-,Multi,Flat,Standard,Rectangular,Yes,Urban,<0.5,S,75,Solar Control,Heterogeneous,Banner,Dominant,Horizontal,No
163,Pompeu Fabra Library,Spain,1997,New,Educational,Warm Facade,Polycrystalline ,-,Translucent,Urban;20 kWp ;225 m2,20,225,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,>0.5,SE,90,Warm Facade,Heterogeneous,Grid,Dominant,Vertical,No
164,"Primary Health Care Centre ""Roger de Flor""",Spain,2007,-,Public,Facade Glazing,-,-,Translucent,10 kWp,10,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Historic,<0.5,SW,90,Rainscreen;Double Skin,Heterogeneous,Flat,Integration,Horizontal,No
165,PV sunshading in Monte Malaga Hotel,Spain,2005,-,Public,Solar Control,-,-,Opaque,54 kWp,54,-,-,-,Blue,Flat,Small,Square,Yes,Urban,0.5,SE;SW,0,Solar Control,Heterogeneous,HighTech,Dominant,Centric,No
166,PV-Ceramic ventilated Facade,Spain,2007,-,-,Facade Cladding,-,-,Opaque,6 kWp,6,-,-,-,Blue,Flat,Standard,Rectangular,Yes,-,>0.5,-,90,Rainscreen,Heterogeneous,Grid,Integration,Horizontal,No
167,Sanitary complex of the Alzheimer Project - Reina Sofía Foundation,Spain,2007,-,Public,Solar Control,-,-,Opaque,19.92 kWp,19.9,-,-,-,Blue,Flat,Small,Rectangular,Yes,Urban,>0.5,SE;SW;NW,60,Solar Control,Heterogeneous,HighTech,Dominant,Horizontal,No
168,"Social Center ""El Barranquet""",Spain,2007,-,Public,Facade Glazing,-,-,Translucent,5.4 kWp,5.4,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,>0.5,SW,90,Warm Facade,Heterogeneous,Grid,Integration,Horizontal,No
169,Solar XXI Building,Portugal,2007,New,Institutional,Facade Cladding,Polycrystalline ,-,Opaque,12 kWp,12,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Horizontal,No
170,The Black Box,Spain,2009,New,Industrial,Rainscreen,Monocrystalline,-,Opaque,-,-,-,-,-,Black,Glossy,Small,Rectangular,No,Industrial,1,SE;SW,90,Rainscreen,Homogeneous,Flat,Dominant,Horizontal,No
171,Torre garena,Spain,2005,-,Office,Solar Control,Polycrystalline ,-,Opaque,80 kWp,80,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,0.5,SE,45,Solar Control,Heterogeneous,Banner,Integration,Horizontal,No
172,Universidad La Salle,Spain,2002,New,Educational,Solar Control,Polycrystalline ,-,Translucent,18 kWp,18,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Urban,>0.5,SW,90,Rainscreen;Double Skin,Homogeneous,Banner,Integration,Horizontal,No
173,Zero-energy building of Acciona Solar,Spain,2006,-,-,Solar Control,Polycrystalline ,-,Translucent,48.3 kWp,48.3,-,-,-,Blue,Flat,Standard,Rectangular,Yes,Agglomeration,>0.5,S,90,Solar Control;Double Skin,Heterogeneous,Banner,Integration,Horizontal,No
174,Frodeparken,Sweden,2014,New,Residential,Integrated,Thin Film,CIS,-,2014;IEA Case Studies;70000,100,898,70000,-,Black,Glossy,Small,Rectangular,No,Urban,>0.5,S,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Horizontal,No
175,KTH Auditorium,Sweden,2006,-,Educational,Solar Control,-,-,Translucent,-,-,-,-,-,Black,Flat,Custom,Square,Yes,Urban,<0.5,S,90,Warm Facade;Solar Control,Heterogeneous,Rhythmic,Integration,Centric,No
176,NCC Holmen and Grynnan,Sweden,2004,-,-,Facade Cladding,-,-,Opaque,34.7 kWp,34.7,-,-,-,Blue,Flat,Custom,Rectangular,No,Urban,0.5,SE;SW,90,Rainscreen,Heterogeneous,Grid,Integration,Mixed,No
177,One tonne Life,Sweden,2008,-,-,Facade Cladding,-,-,Opaque,6 kWp,6,-,-,-,Black,Glossy,Standard,Rectangular,No,Agglomeration,1,-,90,Rainscreen,Homogeneous,Depth,Dominant,Horizontal,No
178,Apartment building in Zurich,Switzerland,2019,New,Residential,-,Monocrystalline,-,Opaque,"86kWp, 2018;42;25;36550;-",86,339,36550,-,Brown,Satin,Custom,Mixed,No,Agglomeration,1,All,90,Rainscreen,Homogeneous,Banner,Integration,Mixed,No
179,Apartment in Zurich,Switzerland,2016,Retrofit,Residential,Integrated,Monocrystalline,Mono,Opaque,1982;IEA Case Studies;72345,170,1550,82000,-,Grey,Satin,Standard,Rectangular,No,Urban,1,All,90,Rainscreen,Homogeneous,Depth,Integration,Vertical,No
180,Apartment Romanshorn,Switzerland,2013,Retrofit,Residential,"Flat Roof,Cold Facade",Polycrystalline ,Mono,Opaque,1961;Swiss BIPV Competence Center;0,53,295,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,1,S;W,90,Rainscreen,Heterogeneous,Banner,Dominant,Vertical,Yes
181,AUE,Switzerland,2021,New,Office,Rainscreen,Monocrystalline,-,-,2019;163;0;53000;0,163,1132,53000,-,Black,Structured,Custom,Mixed,Yes,Urban,1,All,90,Rainscreen,Homogeneous,Flat,Dominant,Mixed,Yes
182,Berger & Frank HQ,Switzerland,2012,New,Office,Integrated,Monocrystalline,Mono,-,2012;Swiss BIPV Competence Center;20349,18,140,20000,-,Black,Flat,Custom,Mixed,Yes,Urban,>0.5,S,75,Rainscreen,Heterogeneous,HighTech,Dominant,Horizontal,No
183,Bühler Electricité,Switzerland,2011,Retrofit,Office,Cold Facade,Monocrystalline,-,Opaque,Urban;-;-,-,-,-,-,Black,Flat,Large,Square,Yes,Industrial,0.5,SE,90,Rainscreen,Heterogeneous,Grid,Subjugation,Centric,No
184,Bauen 2050,Switzerland,2022,New,Residential,-,Monocrystalline,-,-,-;300;-;-;-,-,300,-,-,Green,Satin,Small,Rectangular,No,Agglomeration,>0.5,-,90,Rainscreen,Heterogeneous,Grid,Integration,Vertical,No
185,Casa Solara,Switzerland,2012,New,Residential,Cold Facade,Monocrystalline,-,Opaque,Mountain;34.4 kWp ;346,34.4,346,-,-,Black,Glossy,Standard,Rectangular,Yes,Agglomeration,0.5,S,90,Rainscreen,Heterogeneous,Depth,Integration,Horizontal,No
186,Coop Letzipark,Switzerland,2018,-,Commercial,Rainscreen,Monocrystalline,-,Opaque,-,-,-,-,-,Brown,Satin,Custom,Rectangular,No,Urban,>0.5,-,90,Rainscreen,Heterogeneous,Depth,Integration,Vertical,No
187,CP Pregassona,Switzerland,2021,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-,173,1675,79000,-,White,Satin,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
188,CSEM Facade,Switzerland,2015,New,Office,Rainscreen,Monocrystalline,Mono,Translucent,2015;Swiss BIPV Competence Center;55000,70,633,55000,-,Black,Flat,Standard,Rectangular,Yes,Urban,1,S,90,Rainscreen,Homogeneous,Grid,Dominant,Vertical,No
189,Data Center WWZ AG,Switzerland,2021,New,Industrial,-,-,-,-,-;5;-;-;-,4.5,269,-,-,Grey,Structured,Large,Rectangular,No,Industrial,<0.5,SE,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Horizontal,No
190,Dauwalder House,Switzerland,2009,New,Residential,Louvres Balcony,Monocrystalline,-,Opaque,"Urban;7,6 kWp (roof) + 1,5 kWp (facade) ; -",1.5,-,-,-,Black,-,Custom,Square,No,Agglomeration,<0.5,SW,90,Solar Control,Heterogeneous,Rhythmic,Integration,Centric,No
191,deltaROSSO,Switzerland,2016,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-;30;17;48850;-,30,194,48850,154,Black,Satin,Custom,Rectangular,No,Urban,>0.5,S,90,Rainscreen,Homogeneous,Grid,Integration,Horizontal,No
192,Die Mobiliar Renovation,Switzerland,2017,Retrofit,Office,Solar Control,Amorphous silicon,-,Transparent,2013;74;76;117000;-,74,1384,117000,-,Purple,Flat,Custom,Rectangular,No,Urban,0.5,N;E;S,90,Solar Control,Heterogeneous,Rhythmic,Integration,Vertical,No
193,Energieautarkes MFH Unterdorfstr,Switzerland,2015,New,Residential,Facade Cladding,Thin Film,-,Opaque,206 kWp,206,-,27000,-,Grey,Satin,Custom,Mixed,No,Agglomeration,1,All,90,Rainscreen,Homogeneous,Rhythmic,Integration,Mixed,No
194,FEAT building,Switzerland,1997,Retrofit,Office,External integrated device,Monocrystalline,-,Opaque,-,3.8,26,-,-,Black,Flat,Standard,Rectangular,Yes,Urban,<0.5,S,70,Solar Control,Heterogeneous,Banner,Integration,Horizontal,No
195,Fehlmann Housing Development,Switzerland,2020,New,Residential,Rainscreen,Monocrystalline,-,Opaque,-;82;47;82700;-,82,590,40000,-,Black,Glossy,Large,Rectangular,Yes,Agglomeration,0.5,All,90,Rainscreen,Heterogeneous,Rhythmic,Integration,Vertical,No
196,Flumroc Headquarter,Switzerland,2014,Retrofit,Industrial,"Flat Roof,Cold Facade",Thin Film,-,Opaque,Urban;71.3 kWp (roof); 57.3 kWp (facade);403 m2 (roof); 413 m2 (facade),57.3,413,40500,-,Black,Glossy,Custom,Square,No,Rural,0.5,-,90,Rainscreen,Heterogeneous,Banner,Integration,Centric,No
197,Grosspeter Tower,Switzerland,2017,New,Office,Rainscreen,CIGS,-,Opaque,-;440;100;252000;-,440,4800,252000,110,Grey,Satin,Custom,Rectangular,No,Urban,1,All,90,Rainscreen,Homogeneous,Rhythmic,Integration,Mixed,No
